id,description,no_avion,date
1,NjRUYtZvGAHYAgHvOT,35,2022-08-09
2,amWUTSoMLKFzZLUJ,52,2022-08-09
3,qQAqZwdGYugDqZpASnZ,43,2020-03-14
4,HuyWUZPgeY,21,2023-01-31
5,EBKkGXDRpCeKcD,21,2022-08-09
6,EvTGhCNY,61,2019-12-21
7,fzevvGJO,26,2019-12-21
8,khpDvxBAz,56,2020-11-11
9,OBspicrmqeMambg,19,2023-01-31
10,IHuJyJiSPEFsZyNEANVL,42,2021-05-01
11,JabGfMquKuZeQgUPt,63,2023-01-31
12,EjfrHEQvCshNuJNgpY,47,2020-03-14
13,YPCteW,57,2020-03-14
14,kRkXOARR,46,2022-08-09
15,nrCVHBbpegdhv,44,2020-03-14
16,cemwUGrBarjJeWaiQzMS,51,2023-01-31
17,SgdwWzznVjNltEjKx,39,2023-01-31
18,jeWBjSmY,54,2020-03-14
19,ADFml,21,2022-08-09
20,qZwjoFJomlU,28,2022-08-09
21,OHdeIsQget,65,2020-03-14
22,KQCyBlIgBbuAseMfYrjj,24,2020-03-14
23,LMtMDCkPBZgbX,49,2021-05-01
24,RBTUkpMuwfvEwLBij,63,2021-05-01
25,JJQoWeOGIUzqGBRSEOhS,42,2020-03-14
26,knppvBmaSDpEJyCjKzN,26,2020-03-14
27,EQxIQpXnqXlgdrwMV,47,2023-03-31
28,vVVObC,54,2020-03-14
29,UuHUKf,28,2020-03-14
30,XLEmcwYTEhqcyR,42,2023-03-31
31,iNmEsFxjXETH,33,2020-03-14
32,IDpWYAqUyyKa,39,2022-08-09
33,tXMSqjLaLMHsESo,61,2020-11-11
34,hCRHIyAiMs,33,2021-05-01
35,lOOTisYBABuIsjm,19,2020-03-14
36,xLuAcpPLuyoYwwef,56,2019-12-21
37,EwoRBltitDj,31,2021-05-01
38,OJOdsDDtysvwwWHuWmEC,52,2021-05-01
39,GsnOzXAIm,53,2021-05-01
40,xwxKieNTURY,20,2022-08-09
41,bqOfDaLtNZzy,46,2020-03-14
42,tEdjqjVPrvbRACdLU,49,2020-03-14
43,iEGsuYCNAdoQsHfta,49,2020-03-14
44,dsGmMhiC,34,2020-03-14
45,LlWplBgasXoqjCN,60,2020-03-14
46,qDRpNJslfkOxMgOcz,56,2019-12-21
47,MziDPSQqDluWeJduU,31,2020-03-14
48,TnuuGBJZDmCymfK,19,2019-12-21
49,cPibOHikaLOCF,45,2020-11-11
50,kwwlS,57,2023-01-31
51,VBYQN,42,2022-08-09
52,BJIYbOLsSTDkHMJMIH,32,2021-05-01
53,JAXMyvocmOJXBZ,24,2023-01-31
54,cWgPg,50,2022-08-09
55,metshm,58,2020-11-11
56,suHEbOXUfLVsHpz,45,2022-08-09
57,hzuhTifeFVWKscDW,45,2020-03-14
58,LVyblhJZC,36,2020-11-11
59,sfweabwVotrD,43,2021-05-01
60,AeSIGICvg,45,2023-01-31
61,BcxAHvQWIdReVz,38,2022-08-09
62,BiGJTazhdifQqilPsT,19,2023-03-31
63,YtUeQok,33,2021-05-01
64,TqkmbHYTcA,64,2019-12-21
65,yGutWITWajuwJVJmTe,49,2020-11-11
66,STswSWvD,50,2020-11-11
67,dTPvR,32,2020-11-11
68,utIOxXATUZtm,40,2022-08-09
69,JHMmQu,38,2020-03-14
70,pYZHTQveZmUdAH,26,2020-11-11
71,LtCDxTKVK,46,2019-12-21
72,peVJRvYpTqXnOTfbu,48,2023-01-31
73,iJPGYijelkhDcKd,59,2021-05-01
74,MQjKyxTisqJSlZUXyW,28,2023-01-31
75,SFVWvjKy,43,2020-11-11
76,UOdSlvXvoeslmPjae,19,2019-12-21
77,vxFTEHvxJefRWgvxs,37,2021-05-01
78,VOYIFActNRWOeDb,52,2019-12-21
79,cPbOVkSRZgK,34,2020-11-11
80,KZbntUdpPYmBr,30,2020-03-14
81,VGEeDOIf,20,2021-05-01
82,DjsEsz,42,2022-08-09
83,hMczkrWWm,63,2023-03-31
84,iNABvzMhNHNVfQDcW,56,2021-05-01
85,JrvjO,42,2019-12-21
86,usIIr,50,2020-11-11
87,KHgbeczBhBfLaszNi,21,2023-03-31
88,BXyLnrtNFmQT,43,2019-12-21
89,KVGNKK,18,2020-03-14
90,IwEKIirOBtMVwYsV,64,2021-05-01
91,aVhveRqATmnVqFZy,65,2020-03-14
92,GRUyXKjSCj,51,2022-08-09
93,HXMwChdGRbjcPHqX,45,2022-08-09
94,DWjAzYCjMuMaiLB,51,2019-12-21
95,QbFYrvmAsgyDjT,25,2023-01-31
96,zZgcBxAM,22,2021-05-01
97,NQRiLAZiZxv,47,2023-03-31
98,VaCiltWedUiACOkaCqWe,63,2022-08-09
99,dKnsEhj,52,2020-03-14
100,bSGObUPIdPlD,41,2021-05-01